time_s,radius_m,max_C,max_radius_m,mean_C,T_surface_C,C_surface,T_r0.0cm_C,T_r0.1cm_C,T_r0.2cm_C,T_r0.3cm_C,T_r0.4cm_C,T_r0.5cm_C,T_r0.6cm_C,T_r0.7cm_C,T_r0.8cm_C,T_r0.9cm_C,T_r1.0cm_C,T_r1.1cm_C,T_r1.2cm_C,T_r1.3cm_C,T_r1.4cm_C,T_r1.5cm_C,T_r1.6cm_C,T_r1.7cm_C,T_r1.8cm_C,T_r1.9cm_C,T_r2.0cm_C,C_r0.0cm,C_r0.1cm,C_r0.2cm,C_r0.3cm,C_r0.4cm,C_r0.5cm,C_r0.6cm,C_r0.7cm,C_r0.8cm,C_r0.9cm,C_r1.0cm,C_r1.1cm,C_r1.2cm,C_r1.3cm,C_r1.4cm,C_r1.5cm,C_r1.6cm,C_r1.7cm,C_r1.8cm,C_r1.9cm,C_r2.0cm
1320,0.019068666666666668,2.5500000000000007,0.0043545520993797035,2.3907807541142607,33.532415842116066,1.210529195164386,29.364650674004583,29.373846853536321,29.401514895350456,29.447892665745037,29.513374400000735,29.598507154096708,29.7039853290301,29.830642693492457,29.979441149604742,30.151455493737128,30.347853989656912,30.569876295541608,30.818813847031311,31.096003861119062,31.40286032305432,31.741004182595422,32.112665578010443,32.521704061149279,32.975895312790016,33.493541150503006,,2.5500000000000007,2.5499999999999985,2.5499999999999989,2.549999999999998,2.5500000000000003,2.5500000000000012,2.5499999999999976,2.5499999999998062,2.5499999999844456,2.5499999991327291,2.5499999664317223,2.5499990961989871,2.5499830156905405,2.549776130648707,2.5479161997093449,2.5361759727607907,2.4837915938425454,2.3168523383525872,1.9308680032694729,1.2659733474443917,
1380,0.019026333333333333,2.5500000000000007,0,2.3848605771651208,33.849650332559229,1.198748773852472,29.542818019432502,29.552544658409818,29.581800117894716,29.630810068245388,29.699947438134913,29.789727675151685,29.90080232198607,30.033951394700164,30.19007551194003,30.370189228261992,30.575417235539053,30.806994423445524,31.066268622036183,31.354701885589378,31.673870268654586,32.025503243971549,32.411729383547907,32.835882644705237,33.304592213038347,33.83452569543708,,2.5500000000000007,2.5499999999999985,2.5499999999999989,2.5499999999999989,2.5499999999999994,2.5499999999999998,2.5499999999999909,2.5499999999991778,2.5499999999462082,2.5499999975192806,2.5499999192839109,2.549998143314216,2.5499697040465916,2.5496475982617195,2.5470581146588209,2.5322121767204648,2.4711021808655049,2.288633793930777,1.887285867938115,1.2197057249574372,
1440,0.018984000000000001,2.5500000000000007,0,2.3789874564558859,34.1520548780166,1.1875553911936663,29.730753685719563,29.740985847015015,29.771753748258586,29.823270976941757,29.895891356584855,29.990105903955829,30.106538880411069,30.245943070705742,30.409194185052776,30.597283835733123,30.811309903779545,31.052462401846277,31.322002528287424,31.621234252925468,31.951480471488665,32.31412847024626,32.710934317979557,33.144932633564324,33.622673505376873,,,2.5500000000000007,2.5499999999999994,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999581,2.5499999999968859,2.5499999998314449,2.5499999934723463,2.5499998189651238,2.5499963972285276,2.5499483749789049,2.5494647363160508,2.5459573243846907,2.5275553408204114,2.4572339804891716,2.2594975558212016,1.844139171495196,,
1500,0.018941666666666666,2.5500000000000007,0.0039921792076538301,2.3731583997134447,34.418727390282086,1.1768167696499987,29.928028436583517,29.938747453515607,29.970973158809741,30.024910891016667,30.100900759137595,30.199414312018984,30.321049539129088,30.466523777035892,30.636663852150981,30.832392435104971,31.054709019671304,31.30466302821684,31.583315398698669,31.891685814193018,32.230696802208378,32.601183815018032,33.004163507992047,33.441693707196023,33.919062809371461,,,2.5500000000000007,2.5499999999999994,2.5499999999999994,2.549999999999998,2.5500000000000003,2.5499999999999998,2.5499999999998306,2.5499999999893421,2.5499999995158573,2.5499999840435361,2.5499996181725413,2.5499933526035199,2.5499155160455351,2.5492122950685099,2.5445760898753402,2.522167747576463,2.4422261255999036,2.2295818858370589,1.8015355953137571,,
1560,0.018899333333333334,2.5500000000000012,0,2.36737169284801,34.714157352699665,1.1666511228399867,30.134330099225838,30.145518923163948,30.17915023553984,30.23541754760916,30.314639904081538,30.417256290361532,30.543817006890912,30.694971169414583,30.871449288843564,31.074039936516563,31.303560203721332,31.560821630316831,31.846597389917527,32.161605228931116,32.506543981810402,32.882282424406455,33.29039901262253,33.734363858549592,34.222082061474964,,,2.5500000000000007,2.5499999999999989,2.5499999999999994,2.5499999999999994,2.5500000000000003,2.5499999999999923,2.5499999999993657,2.5499999999666705,2.5499999987127628,2.5499999634657282,2.5499992374808871,2.549988272498632,2.5498666319766454,2.5488730336488454,2.5428770134732082,2.5160206748553615,2.4261302648543004,2.19902272937416,1.7595349404037954,,
1620,0.018856999999999999,2.5500000000000007,0,2.3616242525634501,34.986580024978956,1.1570041559076842,30.349236211178681,30.360864644549121,30.395808045263955,30.454239202735785,30.536441037981366,30.642798979682247,30.773790360562501,30.929971194532676,31.111961125472433,31.320427781779159,31.556071859671132,31.819613430604441,32.111778101843626,32.433282034066977,32.784831904553961,33.1672172157256,33.581676585767028,34.030835279883092,34.521026776178466,,,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5499999999999989,2.5500000000000007,2.5499999999999656,2.5499999999978455,2.5499999999038194,2.5499999968054938,2.5499999210988391,2.5499985497956201,2.5499801232126882,2.5497961437999099,2.5484279068604208,2.5408235040042308,2.5090915882499054,2.4089959456256071,2.1679217259734931,1.7181465304468588,,
1680,0.018814666666666667,2.5500000000000003,0,2.3559140789934681,35.271659498508157,1.1478244433751703,30.572017884032725,30.584040323057984,30.620157984245246,30.680520558593841,30.765373096762048,30.875049469347239,31.009963372815175,31.170596901453415,31.357486546954867,31.571206338869775,31.812347959923866,32.081498577330692,32.379220007408925,32.706041818858935,33.062508953558165,33.44938905764436,33.868226943921179,34.32251601552489,34.820307592454334,,,2.5500000000000007,2.5499999999999994,2.5499999999999994,2.5499999999999985,2.5499999999999998,2.5499999999998679,2.5499999999932643,2.5499999997417389,2.5499999925477579,2.549999838309728,2.5499973602364592,2.5499675029768043,2.5496973012766122,2.5478562428163425,2.5383802896265069,2.5013654017466251,2.3908823869326952,2.1363915525847399,1.6774256172330544,,
1740,0.018772333333333335,2.5500000000000007,0.00024420428416068113,2.350238410368422,35.594762344140044,1.139310398035132,30.801811061604091,30.814183456527857,30.851344024271739,30.913421630202635,31.000626796220825,31.113245423213876,31.251630270957797,31.416190622739627,31.607380941583642,31.825689945801997,32.071632497664403,32.345748209504819,32.648613631956593,32.980883727243096,33.343406240810474,33.737513265922452,34.165663261096029,34.632694115562735,35.148602435922712,,,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999945,2.549999999999554,2.5499999999804674,2.5499999993500935,2.5499999835575813,2.5499996839552987,2.5499953811980069,2.5499485685699366,2.5495621374301605,2.5471360836437413,2.5355141884146315,2.4928333346162845,2.3718459323399119,2.1045104211333174,1.6373589738414391,,
1800,0.01873,2.5500000000000007,0,2.3445942311450363,35.909807857441351,1.1313426083113893,31.037819082754023,31.050500915540884,31.088583700455739,31.152178414872321,31.241467216996497,31.356699735242263,31.498188915458591,31.666307553609812,31.861486984101507,32.084219540398166,32.335066055856366,32.614668578878785,32.92376756384035,33.263227965306271,33.634105707132889,34.037848271531367,34.476796405537812,34.955274662324186,35.482309603869901,,,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5499999999999985,2.5499999999999741,2.5499999999986023,2.5499999999470564,2.5499999984577193,2.5499999655056604,2.5499994081222441,2.5499922024947046,2.5499209602818582,2.549381425500429,2.5462442922760395,2.5321934290026191,2.4834889758319454,2.3519360457577783,2.0723422297321803,1.5979828726107042,,
1860,0.018703666666666667,2.5500000000000007,0,2.3389818360384576,36.227707483454658,1.1237011299616582,31.279164343574422,31.292106049765131,31.33096577809868,31.395847206367097,31.486922715367449,31.604433049769401,31.748687307765476,31.920063487287795,32.119009574547711,32.346044782900272,32.60176019218909,32.886818201040398,33.201952776252043,33.547983982022394,33.925894327720272,34.337075700274895,34.783913612373894,35.2709895754614,35.807969740962079,,,2.5500000000000007,2.549999999999998,2.5499999999999998,2.549999999999998,2.5499999999999092,2.5499999999959893,2.5499999998674423,2.5499999965962199,2.5499999322487272,2.5499989554129772,2.5499875150421092,2.5498840773303573,2.5491609897407614,2.545243811861075,2.5287455391882365,2.4744682056476215,2.3340373816130344,2.0455371973079917,1.5682137257209487,,
