time_s,radius_cm,temperature_degC,C_kgkg_dry,D_m2_s,H_log,M_log,D_over_D0,T_rate_K_s,C_rate_kgkg_s,H_rate_s-1,M_rate_s-1,lnD_rate_s-1,lnD_rate_step_error_s-1,net_sign_certified,rate_interpretable
86,0,28.000002607225678,2.5499999999999998,5.6416809974532981e-09,1.106811376924699e-07,0,1.0000001106811434,3.2395725894455529e-07,0,1.3752533218825811e-08,0,1.3752533218825811e-08,3.3917718151996207e-12,1,1
87,0,28.000002948431614,2.5499999999999998,5.6416810791717546e-09,1.2516590895250007e-07,0,1.0000001251659159,3.5892283101190964e-07,0,1.5236880819965812e-08,0,1.5236880819965812e-08,3.2629650964502119e-12,1,1
88,0,28.000003326034772,2.5499999999999998,5.6416811696072744e-09,1.4119579741511679e-07,0,1.0000001411958064,3.9677807558054689e-07,0,1.6843899891769845e-08,0,1.6843899891769845e-08,3.1278616968089793e-12,1,1
89,0,28.000003743004452,2.5499999999999998,5.6416812694710734e-09,1.5889686827592897e-07,0,1.0000001588968799,4.3768279075114458e-07,0,1.8580374131208592e-08,0,1.8580374131208592e-08,2.9878893667003037e-12,1,1
90,0,28.000004202471473,2.5499999999999998,5.6416813795129104e-09,1.7840201902569186e-07,0,1.0000001784020327,4.8180028855426826e-07,0,2.0453236407085722e-08,0,2.0453236407085722e-08,2.8425805682597197e-12,1,1
91,0,28.000004707731733,2.5499999999999998,5.6416815005221921e-09,1.9985116812316905e-07,0,1.0000001998511885,5.2929736327200782e-07,0,2.24695674151793e-08,0,2.24695674151793e-08,2.6946575791179995e-12,1,1
92,0,28.000005262249559,2.5499999999999998,5.6416816333286103e-09,2.2339138856884017e-07,0,1.0000002233914123,5.8034401669478553e-07,0,2.4636584014864612e-08,0,2.4636584014864612e-08,2.5470663912642424e-12,1,1
93,0,28.000005869660779,2.5499999999999998,5.6416817788029356e-09,2.4917701977288098e-07,0,1.0000002491770499,6.351132209777196e-07,0,2.696162916189542e-08,0,2.696162916189542e-08,2.3976628656471158e-12,1,1
94,0,28.000006533775636,2.5499999999999998,5.6416819378577485e-09,2.7736981949525591e-07,0,1.000000277369858,6.937808689026308e-07,0,2.9452169796864607e-08,0,2.9452169796864607e-08,2.2467687489327005e-12,1,1
95,0,28.0000072585817,2.5499999999999998,5.6416821114480247e-09,3.0813906068665603e-07,0,1.0000003081391085,7.565256545660759e-07,0,3.2115791780125011e-08,0,3.2115791780125011e-08,2.0965784532784321e-12,1,1
96,0,28.000008048246503,2.5499999999999998,5.6416823005718992e-09,3.4166166506220674e-07,0,1.0000003416617227,8.2352871248284986e-07,0,3.4960184571031188e-08,0,3.4960184571031188e-08,1.9455913327997032e-12,1,1
97,0,28.000008907119859,2.5499999999999998,5.6416825062711646e-09,3.7812228992437774e-07,0,1.0000003781223605,8.9497361225691452e-07,0,3.7993141001611259e-08,0,3.7993141001611259e-08,1.7960068269367666e-12,1,1
98,0,28.000009839736361,2.5499999999999998,5.6416827296318371e-09,4.1771343502194913e-07,0,1.0000004177135209,9.7104606370616376e-07,0,4.122254475850674e-08,0,4.122254475850674e-08,1.6465831952423227e-12,1,1
99,0,28.000010850817215,2.5499999999999998,5.641682971784651e-09,4.6063552269423602e-07,0,1.000000460635629,1.0519338866643577e-06,0,4.4656369100896402e-08,0,4.4656369100896402e-08,1.4998541919222141e-12,1,1
100,0,28.000011945272586,2.5499999999999998,5.6416832339055875e-09,5.0709700139071195e-07,0,1.0000005070971296,1.1378268114370371e-06,0,4.8302668389386293e-08,0,4.8302668389386293e-08,1.3606736653307346e-12,1,1
101,0,28.000013128203022,2.5499999999999998,5.6416835172162178e-09,5.5731439409147793e-07,0,1.0000005573145492,1.2289160125078524e-06,0,5.2169558290920713e-08,0,5.2169558290920713e-08,1.223953998348448e-12,1,1
102,0,28.00001440490108,2.5499999999999998,5.6416838229841136e-09,6.1151238179082967e-07,0,1.0000006115125675,1.3253943915714215e-06,0,5.6265227793858652e-08,0,5.6265227793858652e-08,1.0910701548093882e-12,1,1
103,0,28.000015780853015,2.5499999999999998,5.6416841525232247e-09,6.6992386026608342e-07,0,1.0000006699240849,1.4274562071629284e-06,0,6.0597923484968988e-08,0,6.0597923484968988e-08,9.6467654377318055e-13,1,1
104,0,28.000017261739831,2.5499999999999998,5.6416845071941665e-09,7.3279000519475834e-07,0,1.0000007327902734,1.535296854093815e-06,0,6.5175940185936525e-08,0,6.5175940185936525e-08,8.417970098218301e-13,1,1
105,0,28.000018853438547,2.5499999999999998,5.6416848884044414e-09,8.003602971996468e-07,0,1.0000008003606158,1.649112797726578e-06,0,7.0007618163038389e-08,0,7.0007618163038389e-08,7.206619472001368e-13,1,1
106,0,28.000020562023085,2.5499999999999998,5.6416852976088185e-09,8.7289259197501079e-07,0,1.0000008728929732,1.7691015967713497e-06,0,7.5101344094707411e-08,0,7.5101344094707411e-08,6.064997371449369e-13,1,1
107,0,28.000022393765473,2.5499999999999998,5.6416857363093759e-09,9.5065314032263815e-07,0,1.0000009506535921,1.8954614846578011e-06,0,8.046553329986225e-08,0,8.046553329986225e-08,4.9777202904296214e-13,1,1
108,0,28.000024355136077,2.5499999999999998,5.6416862060558217e-09,1.0339166282239548e-06,0,1.0000010339171614,2.0283913266065192e-06,0,8.6108627915301477e-08,0,8.6108627915301477e-08,3.9287511772012828e-13,1,1
109,0,28.000026452804665,2.5499999999999998,5.6416867084455417e-09,1.1229661918670669e-06,0,1.0000011229668218,2.1680907436779271e-06,0,9.2039102161562688e-08,0,9.2039102161562688e-08,2.9835704745141278e-13,1,1
