time_s,C_surface,b_equivalent,driving_gap,effective_flux_m_s,elasticity_to_b_at_fixed_state
6263,1.291584055460252,0.04862983333333333,1.2429542221269188,9.9436337770153491e-07,-0.039124396110195366
6264,1.2915199822041237,0.048632000000000002,1.2428879822041237,9.943103857632989e-07,-0.039128224503190187
6265,1.2914559066409803,0.048634166666666666,1.2428217399743136,9.9425739197945074e-07,-0.039132053376916172
6266,1.2913918287607455,0.048636333333333337,1.2427554954274123,9.9420439634192984e-07,-0.039135882731788828
6267,1.2913277485545516,0.048638500000000001,1.2426892485545515,9.9415139884364125e-07,-0.039139712568185846
6268,1.291263666014596,0.048640666666666665,1.2426229993479292,9.9409839947834338e-07,-0.039143542886451506
6269,1.2911995811340538,0.048642833333333337,1.2425567478007205,9.9404539824057628e-07,-0.039147373686899495
6270,1.2911354939069868,0.048645000000000001,1.2424904939069867,9.9399239512558934e-07,-0.039151204969815716
6271,1.2910714043282281,0.048647166666666665,1.2424242376615615,9.9393939012924926e-07,-0.039155036735461883
6272,1.2910073123933732,0.048649333333333336,1.2423579790600399,9.9388638324803176e-07,-0.039158868984075841
6273,1.2909432180986606,0.0486515,1.2422917180986606,9.9383337447892837e-07,-0.039162701715875228
6274,1.2908791214409583,0.048653666666666665,1.2422254547742917,9.9378036381943337e-07,-0.03916653493105797
6275,1.290815022417698,0.048655833333333336,1.2421591890843646,9.9372735126749165e-07,-0.039170368629804296
6276,1.2907509210268195,0.048658,1.2420929210268195,9.936743368214555e-07,-0.039174202812278465
6277,1.2906868172667403,0.048660166666666671,1.2420266506000737,9.9362132048005883e-07,-0.039178037478629753
6278,1.2906227111363184,0.048662333333333335,1.2419603778029851,9.9356830224238812e-07,-0.0391818726289936
6279,1.2905586026348035,0.048664499999999999,1.2418941026348036,9.9351528210784281e-07,-0.039185708263493123
6280,1.2904944917618373,0.048666666666666671,1.2418278250951706,9.934622600761364e-07,-0.039189544382239122
6281,1.2904303785173761,0.048668833333333335,1.2417615451840427,9.9340923614723416e-07,-0.039193380985332475
6282,1.2903662629017278,0.048670999999999999,1.2416952629017279,9.9335621032138236e-07,-0.039197218072863013
6283,1.290302144915465,0.04867316666666667,1.2416289782487984,9.9330318259903862e-07,-0.03920105564491224
6284,1.2902380245594653,0.048675333333333334,1.2415626912261319,9.9325015298090555e-07,-0.039204893701552002
6285,1.290173901834841,0.048677499999999999,1.2414964018348411,9.9319712146787274e-07,-0.03920873224284678
6286,1.2901097767429606,0.04867966666666667,1.2414301100762939,9.9314408806103499e-07,-0.039212571268852976
6287,1.2900456492854024,0.048681833333333334,1.241363815952069,9.9309105276165521e-07,-0.03921641077962032
6288,1.2899815194639599,0.048684000000000005,1.2412975194639599,9.9303801557116787e-07,-0.039220250775191777
6289,1.289917387280612,0.048686166666666669,1.2412312206139453,9.9298497649115628e-07,-0.039224091255604436
6290,1.289853252737523,0.048688333333333333,1.2411649194041896,9.9293193552335155e-07,-0.039227932220889501
6291,1.2897891158370178,0.048690500000000005,1.2410986158370179,9.9287889266961421e-07,-0.039231773671073118
6292,1.2897249765815897,0.048692666666666669,1.241032309914923,9.9282584793193837e-07,-0.039235615606176055
6293,1.2896608349738523,0.048694833333333333,1.2409660016405191,9.9277280131241514e-07,-0.039239458026215264
6294,1.2895966910165926,0.048697000000000004,1.2408996910165926,9.9271975281327393e-07,-0.039243300931202228
6295,1.2895325447126882,0.048699166666666668,1.2408333780460215,9.9266670243681718e-07,-0.039247144321145476
6296,1.2894683960651545,0.04870133333333334,1.2407670627318212,9.9261365018545701e-07,-0.039250988196049191
6297,1.289404245077125,0.048703500000000004,1.240700745077125,9.9256059606170003e-07,-0.039254832555913777
6298,1.2893400917518212,0.048705666666666668,1.2406344250851544,9.9250754006812353e-07,-0.039258677400736817
6299,1.2892759360925803,0.048707833333333339,1.240568102759247,9.9245448220739758e-07,-0.039262522730512207
6300,1.2892117781028158,0.048710000000000003,1.2405017781028158,9.9240142248225259e-07,-0.039266368545231377
6301,1.2891475711328571,0.048705166666666667,1.2404424044661904,9.923539235729522e-07,-0.039264351566267487
6302,1.2890833165188351,0.048700333333333339,1.2403829831855018,9.9230638654840141e-07,-0.03926233590230583
6303,1.2890190262283812,0.048695500000000003,1.2403235262283812,9.9225882098270489e-07,-0.039260321174488216
6304,1.2889547045949037,0.048690666666666667,1.240264037928237,9.9221123034258955e-07,-0.039258307245609227
6305,1.288890354153944,0.048685833333333338,1.2402045208206107,9.921636166564886e-07,-0.039256294035373458
6306,1.2888259766374925,0.048681000000000002,1.2401449766374926,9.9211598130999399e-07,-0.039254281488921412
6307,1.2887615733316595,0.048676166666666666,1.2400854066649929,9.9206832533199433e-07,-0.0392522695655078
6308,1.2886971452441764,0.048671333333333337,1.2400258119108432,9.9202064952867438e-07,-0.039250258233199393
6309,1.2886326931950391,0.048666500000000001,1.2399661931950392,9.9197295455603131e-07,-0.039248247466005755
6310,1.2885682178703455,0.048661666666666673,1.2399065512036789,9.9192524096294311e-07,-0.039246237242175068
6311,1.2885037198565195,0.048656833333333337,1.2398468865231862,9.9187750921854893e-07,-0.03924422754311075
6312,1.288439199662909,0.048652000000000001,1.2397871996629091,9.918297597303273e-07,-0.039242218352656164
6313,1.2883746577381794,0.048647166666666672,1.2397274910715128,9.9178199285721013e-07,-0.039240209656575646
6314,1.2883100944826074,0.048642333333333336,1.2396677611492741,9.9173420891941929e-07,-0.039238201442165346
6315,1.2882455102564336,0.0486375,1.2396080102564335,9.9168640820514672e-07,-0.039236193697988871
6316,1.2881809053862272,0.048632666666666671,1.2395482387195604,9.9163859097564831e-07,-0.039234186413675744
6317,1.2881162801703916,0.048627833333333335,1.2394884468370582,9.9159075746964652e-07,-0.039232179579747145
6318,1.2880516348834032,0.048623,1.2394286348834032,9.9154290790672257e-07,-0.039230173187481759
6319,1.2879869697791533,0.048618166666666671,1.2393688031124865,9.9149504248998926e-07,-0.039228167228809965
6320,1.2879222850934686,0.048613333333333335,1.2393089517601352,9.9144716140810812e-07,-0.039226161696234003
6321,1.287857581046282,0.048608499999999999,1.239249081046282,9.9139926483702549e-07,-0.039224156582759351
6322,1.2877928578435662,0.04860366666666667,1.2391891911768995,9.9135135294151955e-07,-0.039222151881833422
6323,1.2877281156789591,0.048598833333333334,1.2391292823456257,9.9130342587650056e-07,-0.039220147587294162
6324,1.2876633547350049,0.048593999999999998,1.2390693547350049,9.9125548378800377e-07,-0.039218143693330723
6325,1.2875985751844359,0.048589166666666669,1.2390094085177692,9.9120752681421542e-07,-0.039216140194442944
6326,1.2875337771909938,0.048584333333333334,1.2389494438576605,9.9115955508612829e-07,-0.039214137085415289
6327,1.2874689609102445,0.048579499999999998,1.2388894609102445,9.9111156872819566e-07,-0.03921213436129109
6328,1.2874041264903535,0.048574666666666669,1.2388294598236869,9.9106356785894943e-07,-0.039210132017348
6329,1.2873392740727416,0.048569833333333333,1.2387694407394083,9.9101555259152652e-07,-0.039208130049077181
6330,1.2872744037926827,0.048564999999999997,1.2387094037926827,9.9096752303414617e-07,-0.039206128452164479
6331,1.2872095157797396,0.048560166666666668,1.238649349113073,9.9091947929045834e-07,-0.039204127222476536
6332,1.287144610158258,0.048555333333333332,1.2385892768249247,9.9087142145993963e-07,-0.03920212635604519
6333,1.2870796870477057,0.048550500000000003,1.2385291870477058,9.9082334963816457e-07,-0.039200125849056744
6334,1.2870147465631843,0.048545666666666668,1.2384690798965177,9.9077526391721413e-07,-0.039198125697835734
6335,1.286949788815472,0.048540833333333332,1.2384089554821387,9.9072716438571081e-07,-0.039196125898843623
6336,1.286884813911515,0.048536000000000003,1.2383488139115151,9.9067905112921194e-07,-0.039194126448663186
6337,1.286819821954641,0.048531166666666667,1.2382886552879744,9.9063092423037945e-07,-0.039192127343991807
6338,1.2867548130447226,0.048526333333333331,1.2382284797113894,9.9058278376911143e-07,-0.039190128581636258
6339,1.2866897872785106,0.048521500000000002,1.2381682872785105,9.9053462982280825e-07,-0.039188130158502192
6340,1.2866247447497536,0.048516666666666666,1.2381080780830869,9.9048646246646941e-07,-0.039186132071590288
6341,1.2865596855493486,0.04851183333333333,1.2380478522160152,9.9043828177281203e-07,-0.03918413431799158
6342,1.2864946097656551,0.048507000000000002,1.237987609765655,9.9039008781252399e-07,-0.039182136894877435
6343,1.2864295174844198,0.048502166666666666,1.2379273508177531,9.9034188065420246e-07,-0.039180139799501953
6344,1.286364408789143,0.04849733333333333,1.2378670754558097,9.9029366036464763e-07,-0.039178143029190392
6345,1.2862992837609806,0.048492500000000001,1.2378067837609805,9.9024542700878436e-07,-0.039176146581342268
6346,1.2862341424790487,0.048487666666666665,1.237746475812382,9.9019718064990551e-07,-0.039174150453421645
6347,1.2861689850203979,0.048482833333333329,1.2376861516870645,9.9014892134965156e-07,-0.039172154642958056
6348,1.2861038114601986,0.048478,1.2376258114601986,9.9010064916815889e-07,-0.039170159147540559
6349,1.2860386218718063,0.048473166666666664,1.2375654552051396,9.9005236416411163e-07,-0.039168163964815685
6350,1.2859734163268279,0.048468333333333335,1.2375050829934946,9.9000406639479568e-07,-0.03916616909248536
6351,1.2859081948952691,0.0484635,1.2374446948952691,9.8995575591621517e-07,-0.039164174528302211
6352,1.2858429576454891,0.048458666666666664,1.2373842909788224,9.8990743278305793e-07,-0.039162180270071026
6353,1.285777704644455,0.048453833333333335,1.2373238713111216,9.8985909704889731e-07,-0.03916018631564068
6354,1.2857124359575929,0.048448999999999999,1.2372634359575929,9.8981074876607423e-07,-0.03915819266290884
6355,1.2856471516490398,0.048444166666666663,1.2372029849823731,9.8976238798589857e-07,-0.039156199309814038
6356,1.2855818517815818,0.048439333333333334,1.2371425184482485,9.8971401475859873e-07,-0.039154206254337562
6357,1.2855165364167147,0.048434499999999998,1.2370820364167148,9.8966562913337187e-07,-0.039152213494501584
6358,1.2854512056147929,0.048429666666666663,1.2370215389481263,9.8961723115850099e-07,-0.039150221028364428
6359,1.2853858594349088,0.048424833333333334,1.2369610261015755,9.8956882088126048e-07,-0.039148228854024407
