parameter,location,time_s,C_base,C_minus20,C_plus20,C_secant_elasticity,T_base,T_minus20,T_plus20,T_rise_secant_elasticity_blank_if_rise_lt_0.05K
hm,axis,93,2.55,2.55,2.55,0.0,28.000005879234806,28.000005875252185,28.000005883150326,
hm,axis,94,2.55,2.55,2.55,0.0,28.00000654410414,28.00000653963383,28.00000654850214,
hm,axis,95,2.55,2.55,2.55,0.0,28.000007269707275,28.00000726469963,28.000007274636157,
hm,axis,96,2.55,2.55,2.55,0.0,28.000008060211684,28.00000805461433,28.000008065722618,
hm,axis,97,2.55,2.55,2.55,0.0,28.00000891996954,28.00000891372474,28.00000892611952,
hm,axis,98,2.55,2.55,2.55,0.0,28.00000985351538,28.000009846562584,28.000009860364266,
hm,axis,99,2.55,2.55,2.55,0.0,28.00001086557242,28.000010857845112,28.000010873184912,
hm,axis,100,2.55,2.55,2.55,0.0,28.000011961050667,28.00001195247913,28.000011969498107,
hm,axis,101,2.55,2.55,2.55,0.0,28.00001314505264,28.0000131355604,28.000013154408045,
hm,axis,102,2.55,2.55,2.55,0.0,28.000014422868848,28.000014412377563,28.000014433216013,
hm,axis,103,2.55,2.55,2.55,0.0,28.000015799988326,28.000015788409613,28.00001581141219,
hm,axis,104,2.55,2.55,2.55,0.0,28.00001728209553,28.000017269335466,28.000017294685275,
hm,axis,105,2.55,2.55,2.55,0.0,28.000018875062207,28.000018861028405,28.00001888891935,
hm,axis,106,2.55,2.55,2.55,0.0,28.000020584967732,28.000020569551253,28.00002060019276,
hm,axis,107,2.55,2.55,2.55,0.0,28.000022418088015,28.000022401175595,28.000022434787713,
hm,axis,108,2.55,2.55,2.55,0.0,28.00002438088706,28.00002436236854,28.000024399181335,
hm,axis,109,2.55,2.55,2.55,0.0,28.000026480040415,28.000026459785737,28.000026500048996,
hm,axis,110,2.55,2.55,2.55,0.0,28.00002872242059,28.000028700295907,28.000028744271848,
hm,axis,111,2.55,2.55,2.55,0.0,28.000031115091563,28.00003109096414,28.00003113892522,
hm,axis,112,2.55,2.55,2.55,0.0,28.000033665327802,28.00003363904578,28.000033691286983,
hm,axis,113,2.55,2.55,2.55,0.0,28.000036380601536,28.000036352008166,28.000036408839307,
hm,axis,114,2.55,2.55,2.55,0.0,28.0000392685797,28.000039237516148,28.00003929925848,
hm,axis,115,2.55,2.55,2.55,0.0,28.00004233713722,28.00004230342725,28.0000423704266,
hm,axis,116,2.55,2.55,2.55,0.0,28.000045594347263,28.000045557808033,28.000045630426833,
hm,axis,117,2.55,2.55,2.55,0.0,28.000049048479084,28.00004900892331,28.000049087537757,
hm,axis,118,2.55,2.55,2.55,0.0,28.000052708007935,28.00005266523132,28.000052750243746,
hm,axis,119,2.55,2.55,2.55,0.0,28.00005658160778,28.00005653539708,28.000056627228446,
hm,axis,120,2.55,2.55,2.55,0.0,28.00006067814915,28.000060628283627,28.00006072737306,
hm,axis,121,2.55,2.55,2.55,0.0,28.0000650067036,28.00006495295264,28.0000650597598,
hm,axis,122,2.55,2.55,2.55,0.0,28.00006957653615,28.000069518655863,28.000069633664648,
hm,axis,123,2.55,2.55,2.55,0.0,28.00007439711534,28.0000743348504,28.000074458567408,
hm,axis,124,2.55,2.55,2.55,0.0,28.00007947810458,28.00007941118778,28.000079544143087,
hm,axis,125,2.55,2.55,2.55,0.0,28.000084829364567,28.000084757516554,28.000084900264387,
hm,axis,126,2.55,2.55,2.55,0.0,28.000090460951334,28.00009038388017,28.000090536999593,
hm,axis,127,2.55,2.55,2.55,0.0,28.00009638311573,28.0000963005166,28.000096464612284,
hm,axis,128,2.55,2.55,2.55,0.0,28.000102606302782,28.00010251785757,28.000102693560464,
hm,axis,129,2.55,2.55,2.55,0.0,28.00010914115059,28.00010904652754,28.000109234495664,
hm,axis,130,2.55,2.55,2.55,0.0,28.000115998489505,28.000115897342813,28.00011609826199,
hm,axis,131,2.55,2.55,2.55,0.0,28.000123189341117,28.000123081310573,28.000123295895136,
hm,axis,132,2.55,2.55,2.55,0.0,28.00013072491714,28.000130609627764,28.00013083862135,
hm,axis,133,2.55,2.55,2.55,0.0,28.000138616618333,28.000138493679945,28.00013873785626,
hm,axis,134,2.55,2.55,2.55,0.0,28.000146876033238,28.000146745040034,28.00014700520371,
hm,axis,135,2.55,2.55,2.55,0.0,28.000155514937262,28.00015537546755,28.000155652454684,
hm,axis,136,2.55,2.55,2.55,0.0,28.000164545291465,28.000164396907156,28.000164691586306,
hm,axis,137,2.55,2.55,2.55,0.0,28.000173979240866,28.00017382148708,28.000174134760037,
hm,axis,138,2.55,2.55,2.55,0.0,28.000183829113194,28.000183661517898,28.000183994320423,
hm,axis,139,2.55,2.55,2.55,0.0,28.00019410741748,28.000193929491036,28.000194282793732,
hm,axis,140,2.55,2.55,2.55,0.0,28.000204826842243,28.000204638077207,28.000205012885893,
hm,axis,141,2.55,2.55,2.55,0.0,28.00021600025588,28.000215800126213,28.000216197483482,
hm,axis,142,2.55,2.55,2.55,0.0,28.00022764070151,28.000227428662306,28.000227849648162,
hm,axis,143,2.55,2.55,2.55,0.0,28.000239761400415,28.00023953688785,28.00023998261965,
hm,axis,144,2.55,2.55,2.55,0.0,28.000252375745067,28.000252138175217,28.000252609810158,
hm,axis,145,2.55,2.55,2.55,0.0,28.000265497300298,28.000265246069915,28.000265744803297,
hm,axis,146,2.55,2.55,2.55,0.0,28.000279139802405,28.000278874287215,28.000279401355982,
hm,axis,147,2.55,2.55,2.55,0.0,28.000293317153073,28.000293036707948,28.00029359339037,
hm,axis,148,2.55,2.55,2.55,0.0,28.00030804342254,28.00030774738172,28.000308334996753,
hm,axis,149,2.55,2.55,2.55,0.0,28.00032333284372,28.000323020518582,28.000323640430537,
hm,axis,150,2.55,2.55,2.55,0.0,28.00033919981671,28.00033887049782,28.00033952411191,
hm,axis,151,2.55,2.55,2.55,0.0,28.000355658894975,28.00035531184889,28.000356000618112,
hm,axis,152,2.55,2.55,2.55,0.0,28.000372724800712,28.00037235927253,28.00037308469192,
hm,axis,153,2.55,2.55,2.55,0.0,28.000390412399504,28.000390027609544,28.000390791223545,
hm,axis,154,2.55,2.55,2.55,0.0,28.000408736725987,28.0004083318721,28.000409135269113,
hm,axis,155,2.55,2.55,2.55,0.0,28.000427712950398,28.000427287205113,28.00042813202407,
hm,axis,156,2.55,2.55,2.55,0.0,28.000447356410408,28.000446908922115,28.00044779684899,
hm,axis,157,2.55,2.55,2.55,0.0,28.000467682574506,28.00046721246468,28.00046814523717,
hm,axis,158,2.55,2.55,2.55,0.0,28.00048870706678,28.000488213436938,28.000489192837538,
hm,axis,159,2.55,2.55,2.55,0.0,28.000510445651752,28.00050992756491,28.00051095543989,
hm,axis,160,2.55,2.55,2.55,0.0,28.00053291423496,28.000532370733698,28.000533448975485,
hm,axis,161,2.55,2.55,2.55,0.0,28.00055612885938,28.000555558967687,28.000556689512702,
hm,axis,162,2.55,2.55,2.55,0.0,28.000580105701125,28.00057950839708,28.000580693254562,
hm,axis,163,2.55,2.55,2.55,0.0,28.000604861071917,28.000604235327092,28.000605476539434,
hm,axis,164,2.55,2.55,2.55,0.0,28.000630411411993,28.000629756162663,28.00063105583439,
hm,axis,165,2.55,2.55,2.55,0.0,28.00065677328954,28.000656087436777,28.00065744773554,
hm,axis,166,2.55,2.55,2.55,0.0,28.00068396339783,28.000683245836907,28.00068466896379,
hm,axis,167,2.55,2.55,2.55,0.0,28.00071199855097,28.000711248116012,28.0007127363617,
hm,axis,168,2.55,2.55,2.55,0.0,28.000740895683723,28.00074011120183,28.00074166689275,
hm,axis,169,2.55,2.55,2.55,0.0,28.000770671845842,28.00076985211935,28.000771477635126,
hm,axis,170,2.55,2.55,2.55,0.0,28.00080134419983,28.000800487981053,28.00080218578136,
hm,axis,171,2.55,2.55,2.55,0.0,28.000832930020053,28.000832036039018,28.00083380863502,
hm,axis,172,2.55,2.55,2.55,0.0,28.000865446684198,28.000864513641993,28.000866363604057,
hm,axis,173,2.55,2.55,2.55,0.0,28.00089891167657,28.000897938243366,28.000899868203206,
hm,axis,174,2.55,2.55,2.55,0.0,28.000933342579412,28.000932327397965,28.00093434004417,
hm,axis,175,2.55,2.55,2.55,0.0,28.00096875706946,28.00096769875222,28.000969796836372,
hm,axis,176,2.55,2.55,2.55,0.0,28.001005172922376,28.00100407004219,28.001006256386475,
hm,axis,177,2.55,2.55,2.55,0.0,28.00104260800288,28.001041459101813,28.001043736591157,
hm,axis,178,2.55,2.55,2.55,0.0,28.001081080260423,28.001079883847762,28.001082255429317,
hm,axis,179,2.55,2.55,2.55,0.0,28.00112060772341,28.0011193622754,28.001121830963324,
hm,axis,180,2.55,2.55,2.55,0.0,28.001161208503056,28.001159912460846,28.001162481337172,
hm,axis,181,2.55,2.55,2.55,0.0,28.00120290091041,28.001201552681955,28.001204224894295,
hm,axis,182,2.55,2.55,2.55,0.0,28.001245702946104,28.001244300905416,28.001247079668865,
hm,axis,183,2.55,2.55,2.55,0.0,28.001289633056334,28.00128817554374,28.001291064139796,
hm,axis,184,2.55,2.55,2.55,0.0,28.001334709625745,28.00133319494713,28.001336196725248,
hm,axis,185,2.55,2.55,2.55,0.0,28.00138095109751,28.001379377524078,28.00138249590209,
hm,axis,186,2.55,2.55,2.55,0.0,28.00142837596933,28.001426741737387,28.001429980201955,
hm,axis,187,2.55,2.55,2.55,0.0,28.001477002789564,28.001475306100264,28.001478668207394,
hm,axis,188,2.55,2.55,2.55,0.0,28.00152685015298,28.001525089172148,28.001528578547468,
hm,axis,189,2.55,2.55,2.55,0.0,28.001577936696336,28.001576109554254,28.001579729893503,
hm,axis,190,2.55,2.55,2.55,0.0,28.001630281094574,28.001628385885702,28.001632140955156,
hm,axis,191,2.55,2.55,2.55,0.0,28.001683902056666,28.00168193683957,28.001685830476305,
hm,axis,192,2.55,2.55,2.55,0.0,28.001738818321158,28.00173678111827,28.00174081723053,
hm,axis,193,2.55,2.55,2.55,0.0,28.0017950486519,28.001792937449366,28.00179712001687,
