time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,r=2.0cm
1645,2.549977421902375,2.5499705404868416,2.5499448128070434,2.5498819493139142,2.5497402427936944,2.5494339279282445,2.548796934275344,2.5475248520450502,2.5450901069262337,2.5406303041129044,2.5328196197179,2.5197474543397287,2.4988438977441265,2.4669014712095474,2.4202395231491978,2.3550362987552536,2.2678146024335404,2.1560177051672604,2.0185674105812619,1.8562737813634183,1.6719668496465641
1646,2.5499772516868395,2.5499703280479422,2.5499444503351891,2.5498812504236916,2.5497388617449288,2.5494312371236085,2.5487918493229049,2.5475156084782609,2.5450740206559774,2.5406035876686102,2.5327773678449059,2.5196839344725022,2.4987532571205637,2.4667788851185826,2.4200826642721318,2.3548468425240228,2.2675993546261775,2.1557889144310183,2.0183419792031843,1.8560712600552398,1.6718069757783389
1647,2.5499770803823845,2.5499701143145459,2.5499440858802509,2.5498805481591957,2.5497374748578174,2.5494285364472682,2.548786748365063,2.5475063403028915,2.5450578988076833,2.5405768232546317,2.5327350562573367,2.5196203469776894,2.4986625485984959,2.4666562419129385,2.4199257717591753,2.3546573873564953,2.2673841484724964,2.1555602033548698,2.0181166527126657,1.8558688470709832,1.6716472178422459
1648,2.5499769079833849,2.5499698992803297,2.5499437194337347,2.5498798425081564,2.5497360821147104,2.549425825875022,2.5487816313711735,2.5474970474842662,2.545041741348252,2.5405500108482757,2.5326926849534792,2.5195566918836558,2.4985717722392971,2.4665335416787024,2.4197688456980422,2.3544679333053637,2.2671689839532205,2.1553315718295658,2.0178914309011926,1.8556665424399756,1.6714875756637289
1649,2.5499767344842001,2.5499696829389462,2.5499433509871223,2.5498791334582784,2.5497346834979262,2.549423105382647,2.5487764983105845,2.5474877299877368,2.5450255482446393,2.5405231504269206,2.5326502539317119,2.5194929692188071,2.4984809281041755,2.4664107845014285,2.4196118861755025,2.3542784804224368,2.2669538610492421,2.1551030197476382,2.0176663135652335,1.8554643461942308,1.6713280490704854
1650,2.5499765598791591,2.5499694652840303,2.549942980531871,2.549878420997242,2.5497332789897573,2.5494203749459046,2.5487713491526409,2.5474783877786686,2.5450093194638557,2.5404962419680412,2.5326077631905064,2.5194291790115764,2.4983900162541737,2.4662879704661465,2.4194548932774569,2.3540890287587133,2.2667387797416723,2.1548745470033377,2.0174413005061034,1.8552622583677161,1.6711686378923496
1651,2.5499763841625778,2.5499692463091881,2.549942608059411,2.549877705112694,2.5497318685724699,2.5494176345405268,2.5487661838666784,2.5474690208224526,2.5449930549729691,2.5404692854491979,2.5325652127284268,2.519365321290413,2.4982990367501539,2.4661650996573807,2.4192978670889658,2.3538995783644729,2.2665237400118787,2.1546461534925374,2.0172163915298231,1.8550602789956911,1.6710093419611818
1652,2.5499762073287484,2.5499690260080072,2.5499422335611506,2.549876985792257,2.5497304522283022,2.5494148841422271,2.5487610024220309,2.5474596290845004,2.5449767547391011,2.5404422808480365,2.5325226025441236,2.5193013960837853,2.4982079896528031,2.466042172159153,2.4191408076942982,2.3537101292893401,2.2663087418415206,2.1544178391126625,2.0169915864470016,1.854858408114171,1.6708501611107707
1653,2.5499760293719382,2.5499688043740516,2.549941857028474,2.5498762630235299,2.549729029939463,2.5494121237267007,2.5487558047880268,2.5474502125302467,2.5449604187294295,2.5404152281422867,2.5324799326363281,2.5192374034201745,2.4981168750226299,2.4659191880549982,2.4189837151769762,2.3535206815823533,2.2660937852125773,2.1541896037626005,2.016766885072709,1.8546566457594071,1.6706910951767344
1654,2.5499758502863945,2.5499685814008619,2.5499414784527361,2.5498755367940746,2.5497276016881352,2.5494093532696205,2.5487505909339832,2.547440771125141,2.5449440469111884,2.540388127309761,2.5324372030038567,2.5191733433280619,2.4980256929199562,2.4657961474279788,2.4188265896198167,2.3533312352920119,2.2658788701073571,2.1539614473426432,2.0165422872263776,1.8544549919675617,1.6705321439964427
