question,group,case,time_s,r_m,T,C
1,F01,q1_F01_r96_z0_v2,900,0.0050000000000000001,28.15382698103361,2.5499999696224736
1,F01,q1_F01_r96_z0_v2,900,0.01,28.493341215928066,2.549963083580967
1,F01,q1_F01_r96_z0_v2,900,0.014999999999999999,29.166405734615484,2.5459023128243143
1,F01,q1_F01_r96_z0_v2,900,0.02,30.303708283158851,2.5076712389699951
1,F01,q1_F01_r96_z0_v2,1200,0,28.853106144586036,2.549999996897192
1,F01,q1_F01_r96_z0_v2,1200,0.0050000000000000001,29.009828363027864,2.549999126105623
1,F01,q1_F01_r96_z0_v2,1200,0.01,29.500299067879773,2.5498144460636474
1,F01,q1_F01_r96_z0_v2,1200,0.014999999999999999,30.379828485615313,2.5433078440458776
1,F01,q1_F01_r96_z0_v2,1200,0.02,31.740298773717413,2.5027290654071388
1,F01,q1_F01_r96_z0_v2,1500,0,29.921932773554989,2.5499999089848968
1,F01,q1_F01_r96_z0_v2,1500,0.0050000000000000001,30.110547711306044,2.5499931452595903
1,F01,q1_F01_r96_z0_v2,1500,0.01,30.686569955606185,2.5495019077751415
1,F01,q1_F01_r96_z0_v2,1500,0.014999999999999999,31.66881557821117,2.5408118230350296
1,F01,q1_F01_r96_z0_v2,1500,0.02,33.051039700104717,2.4931230689320425
1,F01,q1_F01_r96_z0_v2,1800,0,31.119095637757951,2.5499991138805749
1,F01,q1_F01_r96_z0_v2,1800,0.0050000000000000001,31.315515822207015,2.5499723887796621
1,F01,q1_F01_r96_z0_v2,1800,0.01,31.905363601136415,2.5490254899403544
1,F01,q1_F01_r96_z0_v2,1800,0.014999999999999999,32.892498433737593,2.5382378035808904
1,F01,q1_F01_r96_z0_v2,1800,0.02,34.284292717412143,2.4803454302030135
1,F11,q1_F11_r96_z128_v2,100,0,27.999547945618179,2.5499999999999998
1,F11,q1_F11_r96_z128_v2,100,0.0050000000000000001,27.995949893562649,2.5499999999999998
1,F11,q1_F11_r96_z128_v2,100,0.01,27.947505463991291,2.5499999999999998
1,F11,q1_F11_r96_z128_v2,100,0.014999999999999999,27.659329504094217,2.5499999882525097
1,F11,q1_F11_r96_z128_v2,100,0.02,26.973288422747256,2.5146100652692005
1,F11,q1_F11_r96_z128_v2,300,0,27.875400583425598,2.5499999999999998
1,F11,q1_F11_r96_z128_v2,300,0.0050000000000000001,27.821978299741261,2.5499999999999998
1,F11,q1_F11_r96_z128_v2,300,0.01,27.666758563777105,2.5499999997436906
1,F11,q1_F11_r96_z128_v2,300,0.014999999999999999,27.484216383905704,2.549888931940349
1,F11,q1_F11_r96_z128_v2,300,0.02,27.540135321947389,2.5088816263440137
1,F11,q1_F11_r96_z128_v2,600,0,27.697138573326558,2.5499999999999998
1,F11,q1_F11_r96_z128_v2,600,0.0050000000000000001,27.71284413296117,2.5499999999522509
1,F11,q1_F11_r96_z128_v2,600,0.01,27.805724684253832,2.5499983900399852
1,F11,q1_F11_r96_z128_v2,600,0.014999999999999999,28.113823934230378,2.5484084373967453
1,F11,q1_F11_r96_z128_v2,600,0.02,28.858789203108973,2.5088503312370909
1,F11,q1_F11_r96_z128_v2,900,0,28.051976203816157,2.5499999999874579
1,F11,q1_F11_r96_z128_v2,900,0.0050000000000000001,28.153826805435568,2.5499999696231939
1,F11,q1_F11_r96_z128_v2,900,0.01,28.493341072789367,2.5499630836113187
1,F11,q1_F11_r96_z128_v2,900,0.014999999999999999,29.166405442548282,2.5459023187933769
1,F11,q1_F11_r96_z128_v2,900,0.02,30.303706869366483,2.5076712012756097
1,F11,q1_F11_r96_z128_v2,1200,0,28.853106035753733,2.5499999968972742
1,F11,q1_F11_r96_z128_v2,1200,0.0050000000000000001,29.009828248375637,2.5499991261078279
1,F11,q1_F11_r96_z128_v2,1200,0.01,29.500299034142824,2.5498144462955756
1,F11,q1_F11_r96_z128_v2,1200,0.014999999999999999,30.379828486878978,2.5433078525681272
1,F11,q1_F11_r96_z128_v2,1200,0.02,31.740292173304077,2.502729029611146
1,F11,q1_F11_r96_z128_v2,1500,0,29.921932785591789,2.5499999089852992
1,F11,q1_F11_r96_z128_v2,1500,0.0050000000000000001,30.110547744214323,2.5499931452685334
1,F11,q1_F11_r96_z128_v2,1500,0.01,30.686570086199428,2.5495019084360209
1,F11,q1_F11_r96_z128_v2,1500,0.014999999999999999,31.668815602947621,2.5408118365958576
1,F11,q1_F11_r96_z128_v2,1500,0.02,33.051039462532209,2.4931231493468737
1,F11,q1_F11_r96_z128_v2,1800,0,31.119095684128602,2.5499991138827363
1,F11,q1_F11_r96_z128_v2,1800,0.0050000000000000001,31.315515858298035,2.549972388817614
1,F11,q1_F11_r96_z128_v2,1800,0.01,31.905363572876379,2.5490254912498305
1,F11,q1_F11_r96_z128_v2,1800,0.014999999999999999,32.892498520040263,2.538237821813913
1,F11,q1_F11_r96_z128_v2,1800,0.02,34.284292602955937,2.4803454919951173
2,B,q23_B_r512_v2,1800,0,32.189243961193966,2.5499340197805735
2,B,q23_B_r512_v2,1800,0.0050000000000000001,32.38211346517614,2.5488834867371333
2,B,q23_B_r512_v2,1800,0.01,32.965939306070588,2.5255573392064399
2,B,q23_B_r512_v2,1800,0.014999999999999999,33.960778088882023,2.3257058247727351
2,B,q23_B_r512_v2,1800,0.02,35.413019614000973,1.6486193183358373
2,B,q23_B_r512_v2,3600,0,40.381566467701191,2.5257359631996041
2,B,q23_B_r512_v2,3600,0.0050000000000000001,40.553565850172994,2.4947858197944028
2,B,q23_B_r512_v2,3600,0.01,41.06048404966711,2.3578195353825659
2,B,q23_B_r512_v2,3600,0.014999999999999999,41.878219154819433,2.0229648100932756
2,B,q23_B_r512_v2,3600,0.02,42.997609723051404,1.4710940660844869
2,B,q23_B_r512_v2,5400,0,45.846755412168882,2.3860632923359719
2,B,q23_B_r512_v2,5400,0.0050000000000000001,45.93480655948666,2.3256361361089697
2,B,q23_B_r512_v2,5400,0.01,46.192954253529834,2.1344091957316915
2,B,q23_B_r512_v2,5400,0.014999999999999999,46.6050751895811,1.8020174799792281
2,B,q23_B_r512_v2,5400,0.02,47.140051182741601,1.3475674180919224
2,B,q23_B_r512_v2,7200,0,48.450235721439455,2.1708515868019265
2,B,q23_B_r512_v2,7200,0.0050000000000000001,48.488060765327397,2.1084340488142455
2,B,q23_B_r512_v2,7200,0.01,48.598445211160872,1.9236286712518627
2,B,q23_B_r512_v2,7200,0.014999999999999999,48.773550906999475,1.6259388690753278
2,B,q23_B_r512_v2,7200,0.02,49.003325057048698,1.231092558358855
2,B,q23_B_r512_v2,9000,0,49.466980746057168,1.9566421390038546
2,B,q23_B_r512_v2,9000,0.0050000000000000001,49.479220189504609,1.9005976204894879
2,B,q23_B_r512_v2,9000,0.01,49.513649894932527,1.7359802497703942
2,B,q23_B_r512_v2,9000,0.014999999999999999,49.565331820082605,1.4719871711488361
2,B,q23_B_r512_v2,9000,0.02,49.660910273263177,1.1166474656641998
2,B,q23_B_r512_v2,10800,0,49.849495774010038,1.7661775138652225
2,B,q23_B_r512_v2,10800,0.0050000000000000001,49.855340831838575,1.7165333509082499
2,B,q23_B_r512_v2,10800,0.01,49.874612257805126,1.5701981440341415
2,B,q23_B_r512_v2,10800,0.014999999999999999,49.910147862620718,1.3332633563153411
2,B,q23_B_r512_v2,10800,0.02,49.966412863677874,1.0081229203749336
2,F00,q23_F00_r96_z0_v2,1800,0,32.121644752330639,2.5499897232316719
2,F00,q23_F00_r96_z0_v2,1800,0.0050000000000000001,32.310739359402668,2.5498377893333624
2,F00,q23_F00_r96_z0_v2,1800,0.01,32.882878331701448,2.5467450249770187
2,F00,q23_F00_r96_z0_v2,1800,0.014999999999999999,33.85560521097802,2.52271447408565
2,F00,q23_F00_r96_z0_v2,1800,0.02,35.260318649032556,2.4283648797133046
2,F00,q23_F00_r96_z0_v2,3600,0,40.15575201866308,2.5468520444501608
2,F00,q23_F00_r96_z0_v2,3600,0.0050000000000000001,40.326077203934048,2.542460135359351
2,F00,q23_F00_r96_z0_v2,3600,0.01,40.829021354446496,2.5186283918117063
2,F00,q23_F00_r96_z0_v2,3600,0.014999999999999999,41.641768884328386,2.4283239070336604
2,F00,q23_F00_r96_z0_v2,3600,0.02,42.748422879283808,2.14600881258424
2,F00,q23_F00_r96_z0_v2,5400,0,45.636527629734353,2.5160050843625954
2,F00,q23_F00_r96_z0_v2,5400,0.0050000000000000001,45.728087968365259,2.4952341864051806
2,F00,q23_F00_r96_z0_v2,5400,0.01,45.996639137516773,2.4121179642066446
2,F00,q23_F00_r96_z0_v2,5400,0.014999999999999999,46.424418468280528,2.2064453765261054
2,F00,q23_F00_r96_z0_v2,5400,0.02,46.9745044611483,1.8019987091596648
2,F00,q23_F00_r96_z0_v2,7200,0,48.355979774453303,2.4100430646994555
2,F00,q23_F00_r96_z0_v2,7200,0.0050000000000000001,48.396620812473344,2.3685881801499291
2,F00,q23_F00_r96_z0_v2,7200,0.01,48.514659643650127,2.2322615509484187
2,F00,q23_F00_r96_z0_v2,7200,0.014999999999999999,48.699841649416101,1.9742118111848161
2,F00,q23_F00_r96_z0_v2,7200,0.02,48.937834720184078,1.5736299160889899
2,F00,q23_F00_r96_z0_v2,9000,0,49.447646976405849,2.2411912358211041
2,F00,q23_F00_r96_z0_v2,9000,0.0050000000000000001,49.46060028488467,2.1914597299839533
2,F00,q23_F00_r96_z0_v2,9000,0.01,49.496676455024478,2.0390207037507686
2,F00,q23_F00_r96_z0_v2,9000,0.014999999999999999,49.55067443642502,1.7775468655008204
2,F00,q23_F00_r96_z0_v2,9000,0.02,49.648212674048864,1.403041775449027
2,F00,q23_F00_r96_z0_v2,10800,0,49.854568725953342,2.0555492583784947
2,F00,q23_F00_r96_z0_v2,10800,0.0050000000000000001,49.86088064836099,2.0057432639673607
2,F00,q23_F00_r96_z0_v2,10800,0.01,49.881099944457908,1.8563538317041051
2,F00,q23_F00_r96_z0_v2,10800,0.014999999999999999,49.916791368055087,1.6079176388536665
2,F00,q23_F00_r96_z0_v2,10800,0.02,49.97077796888388,1.260239401801728
2,F10,q23_F10_r96_z128_retry,1800,0,32.121644844820231,2.5499897232375437
2,F10,q23_F10_r96_z128_retry,1800,0.0050000000000000001,32.310739460771742,2.5498377893304816
2,F10,q23_F10_r96_z128_retry,1800,0.01,32.882878402702197,2.5467450239252583
2,F10,q23_F10_r96_z128_retry,1800,0.014999999999999999,33.855604910707399,2.5227144508043335
2,F10,q23_F10_r96_z128_retry,1800,0.02,35.260318739901138,2.428364839254928
2,F10,q23_F10_r96_z128_retry,3600,0,40.155785830093699,2.5468520422437768
2,F10,q23_F10_r96_z128_retry,3600,0.0050000000000000001,40.326110217983896,2.5424601317879176
2,F10,q23_F10_r96_z128_retry,3600,0.01,40.829052052070729,2.5186283894241783
2,F10,q23_F10_r96_z128_retry,3600,0.014999999999999999,41.641796016790188,2.4283239128807246
2,F10,q23_F10_r96_z128_retry,3600,0.02,42.74844488275189,2.1460082415296107
2,F10,q23_F10_r96_z128_retry,5400,0,45.637072234628086,2.5160045282532808
2,F10,q23_F10_r96_z128_retry,5400,0.0050000000000000001,45.728620261653369,2.4952334187243408
2,F10,q23_F10_r96_z128_retry,5400,0.01,45.997134854642795,2.4121164291557791
2,F10,q23_F10_r96_z128_retry,5400,0.014999999999999999,46.424853971422628,2.2064420195082231
2,F10,q23_F10_r96_z128_retry,5400,0.02,46.974855855305194,1.8019917641807408
2,F10,q23_F10_r96_z128_retry,7200,0,48.35753243510829,2.4100355533900748
2,F10,q23_F10_r96_z128_retry,7200,0.0050000000000000001,48.398136024532171,2.3685799849041751
2,F10,q23_F10_r96_z128_retry,7200,0.01,48.516064008393165,2.2322518958735751
2,F10,q23_F10_r96_z128_retry,7200,0.014999999999999999,48.701065645374484,1.9742014677204831
2,F10,q23_F10_r96_z128_retry,7200,0.02,48.938813108407494,1.5736216338404476
2,F10,q23_F10_r96_z128_retry,9000,0,49.449608046742995,2.2411684957233002
2,F10,q23_F10_r96_z128_retry,9000,0.0050000000000000001,49.462510751768541,2.1914373183215718
2,F10,q23_F10_r96_z128_retry,9000,0.01,49.498438164360849,2.0389999699429975
2,F10,q23_F10_r96_z128_retry,9000,0.014999999999999999,49.552197269659104,1.7775304862491796
2,F10,q23_F10_r96_z128_retry,9000,0.02,49.64942021706176,1.4030326533176922
2,F10,q23_F10_r96_z128_retry,10800,0,49.856052354109949,2.0555142645907134
2,F10,q23_F10_r96_z128_retry,10800,0.0050000000000000001,49.862324079115503,2.0057098469914911
2,F10,q23_F10_r96_z128_retry,10800,0.01,49.882426311447539,1.8563251653534092
2,F10,q23_F10_r96_z128_retry,10800,0.014999999999999999,49.917932772354142,1.6078964996965734
2,F10,q23_F10_r96_z128_retry,10800,0.02,49.97167701873547,1.260226839798894
2,F01,q23_F01_r96_z0_v2,1800,0,31.258073312013142,2.5499956485904898
2,F01,q23_F01_r96_z0_v2,1800,0.0050000000000000001,31.434542314584597,2.5499288709645747
2,F01,q23_F01_r96_z0_v2,1800,0.01,31.964201131019447,2.5486254625059677
2,F01,q23_F01_r96_z0_v2,1800,0.014999999999999999,32.849866966596295,2.5400385118671283
2,F01,q23_F01_r96_z0_v2,1800,0.02,34.098287704679507,2.5123988424209927
2,F01,q23_F01_r96_z0_v2,3600,0,37.579305896631318,2.5489997457178775
2,F01,q23_F01_r96_z0_v2,3600,0.0050000000000000001,37.689444163050915,2.5476724556652957
2,F01,q23_F01_r96_z0_v2,3600,0.01,38.011276981518478,2.540858288237783
2,F01,q23_F01_r96_z0_v2,3600,0.014999999999999999,38.519450726309053,2.5162927499445562
2,F01,q23_F01_r96_z0_v2,3600,0.02,39.165558916757931,2.4420604265190371
2,F01,q23_F01_r96_z0_v2,5400,0,40.560121071747531,2.5424551786957434
2,F01,q23_F01_r96_z0_v2,5400,0.0050000000000000001,40.601947183558302,2.5376841229729772
2,F01,q23_F01_r96_z0_v2,5400,0.01,40.723587342640549,2.5181232479298896
2,F01,q23_F01_r96_z0_v2,5400,0.014999999999999999,40.915317584490836,2.4676156076518914
2,F01,q23_F01_r96_z0_v2,5400,0.02,41.138685444636806,2.3621832689434159
2,F01,q23_F01_r96_z0_v2,7200,0,41.656541561769373,2.5236190359282729
