time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,r=2.0cm
6360,2.2744189460593525,2.2718835138532909,2.2642731247920818,2.2515762624253988,2.2337762131790311,2.2108545953144305,2.1827959275944075,2.1495928922919671,2.1112518844206849,2.0677984004014234,2.0192818076070131,1.9657790516557874,1.9073968950493108,1.8442723238067888,1.7765707934973278,1.7044820203134368,1.6282130540151674,1.5479781771138184,1.4639839343925314,1.3764030978432527,1.2853204979351391
6361,2.2742970844607489,2.2717616177833455,2.2641511377540366,2.2514541644677237,2.233654042663261,2.2107324669486936,2.1826740455485925,2.1494715575029582,2.1111314955544422,2.0676794483550203,2.0191648638840594,1.9656647513611194,1.907285915507547,1.8441653599145127,1.7764685312186821,1.7043851103560079,1.6281220864038355,1.5478936478742771,1.4639061648858707,1.3763320005555169,1.2852551731722619
6362,2.2741752159184254,2.2716397149833667,2.2640291446157317,2.2513320614223908,2.2335318684019447,2.2106103364386884,2.1825521631357212,2.1493502242090545,2.111011110037802,2.0675605014175606,2.0190479268582489,1.9655504591203179,1.9071749451013325,1.8440584059399019,1.7763662793420354,1.7042882110026838,1.6280311292418046,1.5478091280882584,1.463828401310006,1.3762609002707702,1.2851898790784071
6363,2.2740533404447745,2.2715178054656184,2.2639071453890383,2.2512099533006751,2.2334096904056016,2.2104882037941147,2.18243028036472,2.1492288924186131,2.1108907278789304,2.0674415595975622,2.0189309965391096,1.9654361749445741,1.9070639838440246,1.8439514618987471,1.7762640378853032,1.7041913222714606,1.627940182541187,1.547724617745639,1.4637506435876906,1.3761897967115588,1.2851246013122177
6364,2.2739314580521781,2.2713958892423478,2.263785140085826,2.2510878401138417,2.2332875086847541,2.2103660690246869,2.1823083972445541,2.1491075621400531,2.1107703490860699,2.0673226229036366,2.0188140729362751,1.9653218988451657,1.9069530317490229,1.8438445278068063,1.7761618068662595,1.7040944441800592,1.6278492463134917,1.5476401168314229,1.4636728916126278,1.3761186896760174,1.2850593347629236
6365,2.2738095687530211,2.2712739663258099,2.2636631287179685,2.2509657218731758,2.2331653232499473,2.2102439321401524,2.1821865137842282,2.1489862333818461,2.1106499736675346,2.0672036913444831,2.0186971560594604,1.9652076308334285,1.9068420888297342,1.8437376036797728,1.7760595863025059,1.7039975767458719,1.6277583205689548,1.5475556253224949,1.4635951452667548,1.3760475790537245,1.2849940764878311
6366,2.2736876725596957,2.2711520367282669,2.26354111129735,2.2508435985899791,2.2330431341117429,2.2101217931502819,2.1820646299927886,2.1488649061525167,2.110529601631713,2.0670847649288753,2.0185802459184523,1.9650933709207508,1.9067311550995738,1.8436306895332681,1.775957376211468,1.7039007199858442,1.6276674053156104,1.5474711431878287,1.4635174044317687,1.3759764648289481,1.2849288245069099
6367,2.2735657694846032,2.2710301004619895,2.263419087835866,2.2507214702755589,2.2329209412807312,2.2099996520648806,2.1819427458793208,2.1487435804606507,2.1104092329870565,2.0669658436656686,2.0184633425231158,1.9649791191185708,1.9066202305719564,1.8435237853828443,1.7758551766103705,1.7038038739162469,1.6275765005586427,1.5473866703904573,1.4634396689935316,1.3759053470686389,1.2848635773759298
6368,2.2734438595401474,2.2709081575392571,2.2632970583454224,2.2505993369412445,2.2327987447675111,2.2098775088937832,2.1818208614529571,2.1486222563148849,2.1102888677420886,2.066846927563792,2.0183464458833833,1.9648648754383753,1.9065093152603003,1.8434168912439723,1.7757529875161866,1.7037070385524118,1.627485606300211,1.5473022068895241,1.4633619388434491,1.375834225900616,1.2847983339796774
6369,2.2733219427387428,2.2707862079723502,2.2631750228379333,2.2504771985983747,2.2326765445827133,2.2097553636468494,2.1816989767228656,2.1485009337239132,2.1101685059053987,2.0667280166322501,2.0182295560092602,1.9647506398916914,1.9063984091780128,1.8433100071320319,1.7756508089455612,1.703610213908525,1.6273947225396237,1.5472177526418156,1.4632842138785869,1.3757631014923419,1.2847330934293282
6370,2.273200019092811,2.2706642517735687,2.2630529813253268,2.2503550552583054,2.2325543407369834,2.2096332163339776,2.1815770916982604,2.1483796126964818,2.1100481474856472,2.0666091108801221,2.0181126729108172,1.9646364124900881,1.9062875123384935,1.8432031330622889,1.7755486409147199,1.7035133999974779,1.6273038492736953,1.5471333076029452,1.4632064940014795,1.375691974032424,1.284667854991526
